scorer,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia,spencer loggia
bodyparts,bodypart1,bodypart1,bodypart2,bodypart2,bodypart3,bodypart3,objectA,objectA
coords,x,y,x,y,x,y,x,y
labeled-data\c_13817_394\img0053.png,507.8906464924347,494.8001375515818,,,664.4858402783398,588.3222671737196,,
labeled-data\c_13817_394\img0217.png,308.8714050542242,324.2258881335059,507.10707616522365,376.56010530680976,335.8314563253202,446.33906153788155,,
labeled-data\c_13817_394\img0390.png,326.3161441119922,268.7199002224261,507.10707616522365,306.78114907573797,318.3867172675522,373.38833456903376,,
labeled-data\c_13817_394\img0741.png,267.63838546313633,335.3270857157219,,,400.852756449728,413.03546879123365,,
labeled-data\c_13817_394\img0750.png,280.32546841424033,321.0541173957299,,,391.3374442364,414.62135416012165,,
labeled-data\c_13817_394\img1092.png,353.2761953830881,365.4589077245938,,,484.90468100079175,535.1486421956093,,
labeled-data\c_13817_394\img1097.png,351.69031001420007,357.5294808801538,,,489.6623371074557,541.4921836711612,,
labeled-data\c_13817_394\img1176.png,321.55848800532823,295.679951493522,,,365.963278334192,506.6027055556254,,
labeled-data\c_13817_394\img1395.png,,,,,,,,
labeled-data\c_13817_394\img1472.png,413.5398394008319,376.56010530680976,,,,,,
labeled-data\c_13817_394\img1527.png,321.55848800532823,400.3483858401297,502.3494200585597,520.8756738756174,,,,
labeled-data\c_13817_394\img1669.png,243.85010492981638,401.9342712090177,510.27884690299965,394.0048443645777,391.3374442364,506.6027055556254,,
labeled-data\c_13817_394\img1970.png,,,,,,,,
labeled-data\c_13817_394\img2163.png,21.82615328549707,328.9835442401699,223.23359513427243,317.882346657954,44.02854844992896,438.4096346934416,,
