scorer,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000,DeepCut_resnet50_Cam1_3dTestOct27shuffle1_4000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,451.60471430420876,201.70321941375732,0.9990314245223999,468.3785363435745,298.31666672229767,0.9979737401008606,315.03622829914093,364.19022512435913,0.9886586666107178
1,453.38071942329407,202.8381929397583,0.999413013458252,468.5675449371338,298.3969428539276,0.9980162382125854,315.47528833150864,364.228759765625,0.9788147807121277
2,453.38706600666046,203.01046133041382,0.9994021654129028,468.7727707028389,299.41545259952545,0.9979971051216125,315.48249262571335,365.00767707824707,0.9798406958580017
3,454.33201241493225,203.01046133041382,0.9993686079978943,470.6905210018158,299.41545259952545,0.9981776475906372,316.57484674453735,365.00767707824707,0.9841510057449341
4,454.44680666923523,202.8381929397583,0.9993786215782166,470.72190618515015,299.52676060795784,0.9982130527496338,316.8255624771118,365.00767707824707,0.9838112592697144
5,455.07380414009094,202.83506441116333,0.9993096590042114,472.16659688949585,299.7971293926239,0.9979727268218994,317.2330846786499,365.00767707824707,0.9882828593254089
6,457.2552881240845,202.14041757583618,0.999123215675354,472.8832926750183,301.2213044166565,0.997959315776825,317.28588914871216,364.3957767486572,0.9919523000717163
7,457.25925159454346,202.1363434791565,0.9991261959075928,472.88553524017334,301.2581295967102,0.9980124235153198,317.29434633255005,364.36691188812256,0.9919664859771729
8,460.19877694547176,202.1363434791565,0.9970564842224121,474.7901110649109,301.8136125802994,0.9971126317977905,317.74437141418457,363.4708561897278,0.9955240488052368
9,460.2099657654762,202.1363434791565,0.9970659017562866,474.8314652442932,301.8136125802994,0.9971174001693726,317.8181757926941,363.45655727386475,0.9954429864883423
10,463.8280658721924,202.20170879364014,0.9979301691055298,477.32497119903564,301.8136125802994,0.9942917823791504,319.4635820388794,362.4448256492615,0.9972336292266846
11,463.8718452453613,202.2839994430542,0.9979479312896729,477.3722162246704,301.63621735572815,0.9938114881515503,319.4635820388794,362.43656969070435,0.9971716403961182
12,466.8062297105789,202.42324876785278,0.9993174076080322,477.8229389190674,301.3564887046814,0.9929901361465454,319.4635820388794,362.0338068008423,0.9965998530387878
13,470.7137858867645,203.13848638534546,0.9991095066070557,478.1168255805969,301.3564887046814,0.9952281713485718,319.4635820388794,361.5481734275818,0.9951624274253845
14,470.83646178245544,203.34033870697021,0.9990187883377075,479.25190138816833,301.3564887046814,0.9952021837234497,320.23158860206604,361.4918603897095,0.9958193898200989
15,471.6796293258667,203.34033870697021,0.9985277652740479,479.32113313674927,301.49104499816895,0.9943215847015381,320.69415760040283,360.9089150428772,0.9975631833076477
16,471.7459044456482,203.34033870697021,0.998358964920044,481.41507053375244,302.186470746994,0.994744062423706,320.7128393650055,360.8468132019043,0.9973896145820618
17,474.93051052093506,203.04877853393555,0.9964067339897156,481.56319522857666,302.27019739151,0.9968863725662231,322.53505086898804,359.6043803691864,0.9977314472198486
18,475.00911951065063,202.86802101135254,0.9962049126625061,481.59028792381287,302.2821545600891,0.9968189001083374,322.62253975868225,359.6043803691864,0.9978423118591309
19,477.51556062698364,200.3521490097046,0.9946467876434326,482.9912339448929,302.9156074523926,0.997817873954773,322.6795231103897,359.6043803691864,0.9979714155197144
20,477.6505227088928,200.3521490097046,0.9944636821746826,483.020143032074,302.9156074523926,0.9980220794677734,322.7128881216049,359.5999286174774,0.9980154037475586
21,477.6736481189728,200.3521490097046,0.9946550130844116,483.3003267645836,302.9156074523926,0.9980184435844421,322.72327494621277,359.3209340572357,0.9980088472366333
