scorer,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000,DeepCut_resnet50_Cam2_3dTestOct27shuffle1_1000
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,451.2713686823845,320.7342870235443,0.9829492568969727,339.96350929141045,377.8201880455017,0.9650812745094299,198.98270845413208,315.3675560951233,0.9432969689369202
1,452.2600578069687,321.06955575942993,0.9856351613998413,339.96350929141045,377.9088091850281,0.9612224102020264,199.05955123901367,315.51824283599854,0.9361718893051147
2,453.9522657394409,322.7475655078888,0.9841514229774475,340.01549240294844,380.64250135421753,0.9727733135223389,199.41242170333862,315.6121039390564,0.8992329835891724
3,454.02481389045715,322.89710342884064,0.9840589165687561,340.01549240294844,380.7735605239868,0.97209632396698,199.5647475719452,316.07177543640137,0.8971809148788452
4,457.3625793457031,325.23636507987976,0.9643089771270752,340.85164803266525,382.22717332839966,0.9730054140090942,200.19947957992554,316.329926609993,0.8344722986221313
5,457.42437076568604,325.33206713199615,0.9646639823913574,340.95229583978653,382.27871561050415,0.9726575613021851,200.19947957992554,316.40560019016266,0.8309478759765625
6,459.3757558465004,327.59832215309143,0.9452770948410034,343.78450536727905,384.552565574646,0.9742457866668701,200.72892427444458,316.40560019016266,0.80073082447052
7,459.4567970633507,327.77762937545776,0.9455059170722961,343.8359749317169,384.8252947330475,0.9744893312454224,200.72892427444458,316.40560019016266,0.8055158853530884
8,462.5397472381592,329.84255933761597,0.8871727585792542,347.16126680374146,388.7473778128624,0.9754922389984131,204.80725514888763,316.40560019016266,0.8402111530303955
9,464.8316900730133,333.3361487388611,0.9802459478378296,351.1303358078003,388.8339464068413,0.9607813358306885,211.3610681295395,320.85669803619385,0.8761179447174072
10,465.12479734420776,333.3736095428467,0.9797917604446411,351.1819591522217,388.8472781777382,0.9649802446365356,211.43293672800064,320.95651173591614,0.8792811632156372
11,469.445893406868,336.42913937568665,0.9847956895828247,353.0468108654022,392.3939299583435,0.9635311961174011,213.93371987342834,323.8189591318369,0.9337477087974548
12,469.7196033000946,337.43291211128235,0.9822303652763367,353.23417019844055,392.9193377494812,0.9557809829711914,213.93371987342834,324.31440156698227,0.9359805583953857
13,471.6370677947998,338.74442172050476,0.9788448214530945,353.99407958984375,395.9146432876587,0.963517427444458,214.61380100250244,326.05644488334656,0.9467918872833252
14,471.81382942199707,338.84364354610443,0.9795863032341003,354.5810775756836,396.22727060317993,0.9652168154716492,215.2129008769989,326.11039185523987,0.9441914558410645
15,474.02160120010376,342.01737332344055,0.9564731121063232,354.5825364589691,398.9961004257202,0.9764208793640137,215.42502164840698,327.7535455226898,0.9475940465927124
16,476.2177144885063,343.3904514312744,0.9359314441680908,354.97941541671753,399.89251804351807,0.9808851480484009,216.46810150146484,328.6332097053528,0.9280847311019897
17,476.39180448651314,343.43066334724426,0.9402260780334473,355.34240037202835,400.0823769569397,0.9813375473022461,216.63580703735352,329.3551244735718,0.934911847114563
18,477.82292318344116,344.82056522369385,0.902942955493927,356.18042020499706,401.9670784473419,0.9826131463050842,217.20782089233398,329.48878479003906,0.9221717119216919
19,477.82568359375,344.8699321746826,0.9023557305335999,356.3619668185711,402.5268728733063,0.9825977087020874,217.38412475585938,329.702516078949,0.9145196676254272
20,477.9312708377838,348.2430353164673,0.8656715154647827,358.50594758987427,404.5731610059738,0.9777255654335022,218.24244213104248,330.02582454681396,0.8821287155151367
21,478.0675766468048,348.2430353164673,0.8759371042251587,358.708619594574,404.746401488781,0.9773327708244324,218.3230710029602,330.2460923194885,0.8817355632781982
